Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_gyri_to_wall_thickness_difference,Bok_1929_sulci_to_wall_thickness_difference,Lamina,,
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,-3,1,IV,3,-1
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,11,-6,V,-11,6
Very curved,L. Medial frontal gyrus (frontal lobe),Gyri2_minus_Sulci1,25,14,-3,VI,-14,3
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,-41,-37,I,41,37
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,-17,-16,II,17,16
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,-15,-9,III,15,9
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,-6,-3,IV,6,3
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,6,9,V,-6,-9
Very curved,"L. Insular cortex (lateral sulcus, postcentral)",Gyri2_minus_Sulci1,26,32,19,VI,-32,-19
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,-5,13,I,5,-13
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,-6,10,II,6,-10
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,-7,1,III,7,-1
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,-12,-4,IV,12,4
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,0,-2,V,0,2
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,27,25,-5,VI,-25,5
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,-6,13,I,6,-13
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,-5,11,II,5,-11
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,-6,-6,III,6,6
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,-10,-4,IV,10,4
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,2,1,V,-2,-1
Very curved,"L. Striatum (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,28,24,-2,VI,-24,2
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,-2,42,I,2,-42
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,0,6,II,0,-6
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,-15,-3,III,15,3
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,-1,0,IV,1,0
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,6,1,V,-6,-1
Very curved,L. Temporopolar cortex (temporal lobe),Gyri1_minus_Sulci1,29,10,-4,VI,-10,4
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,-6,39,I,6,-39
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,-2,4,II,2,-4
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,-21,-10,III,21,10
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,-1,1,IV,1,-1
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,10,5,V,-10,-5
Very curved,L. Temporopolar cortex (temporal lobe),Gyri2_minus_Sulci1,30,14,0,VI,-14,0
